               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               3.418,              32.561,                2.37,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.082515,           0.0023843,           0.0023843
                   1,              4.0657,              25.101,              2.7944,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.064915,           0.0047842,           0.0047842
                   2,              4.6341,              15.921,              3.2124,             0.40058,           0.0010989,          0.00028957,          3.9188e-05,                   0,                   0,                   0,            0.047315,           0.0071839,           0.0071839
                   3,              5.2212,              10.246,              3.3328,             0.34595,           0.0052032,           0.0024657,          0.00061818,                   0,                   0,                   0,            0.029714,            0.009583,            0.009583
                   4,              4.9952,              8.0217,              2.4656,            0.059039,            0.028959,           0.0010111,          0.00024136,                   0,                   0,                   0,            0.012112,            0.011981,            0.011981
                   5,              4.7244,                7.14,              2.3893,           0.0027817,            0.098337,           0.0029033,          0.00092708,                   0,                   0,                   0,            0.011995,            0.011995,            0.011995
                   6,              4.5398,              6.3276,              2.1879,           0.0032102,            0.083485,           0.0025607,            0.000646,                   0,                   0,                   0,            0.011995,            0.011995,            0.011995
                   7,              4.4633,              5.6783,              2.0204,           0.0016499,            0.071222,           0.0012652,          0.00038611,                   0,                   0,                   0,            0.011993,            0.011993,            0.011993
                   8,              4.2156,              5.3739,              1.9643,           0.0029835,            0.065721,           0.0027174,          0.00064236,                   0,                   0,                   0,            0.011991,            0.011991,            0.011991
                   9,              4.0707,              5.3695,              2.0078,           0.0061376,             0.24623,            0.006495,           0.0014886,                   0,                   0,                   0,            0.011988,            0.011988,            0.011988
                  10,              3.9687,              5.3027,              1.8399,           0.0074598,             0.20436,           0.0088917,            0.002621,                   0,                   0,                   0,            0.011985,            0.011985,            0.011985
                  11,              3.7882,              4.8235,               1.764,           0.0071067,             0.29753,           0.0097753,           0.0026192,                   0,                   0,                   0,            0.011982,            0.011982,            0.011982
                  12,              3.7795,              4.9584,              1.7832,            0.035812,             0.27202,            0.011769,           0.0022603,                   0,                   0,                   0,            0.011978,            0.011978,            0.011978
                  13,              3.5632,              4.7374,              1.7778,           0.0095078,             0.35757,            0.012897,           0.0037264,                   0,                   0,                   0,            0.011973,            0.011973,            0.011973
                  14,              3.5422,               4.553,              1.7016,            0.011289,             0.37245,            0.015747,           0.0051866,                   0,                   0,                   0,            0.011969,            0.011969,            0.011969
                  15,              3.5503,              4.5064,              1.6609,           0.0085032,             0.33163,            0.010786,           0.0029497,                   0,                   0,                   0,            0.011964,            0.011964,            0.011964
                  16,              3.3733,              4.3658,               1.591,            0.011472,             0.38856,            0.013022,           0.0038916,                   0,                   0,                   0,            0.011958,            0.011958,            0.011958
                  17,              3.3227,              4.3831,              1.5606,            0.010574,             0.37763,            0.016175,            0.006318,                   0,                   0,                   0,            0.011953,            0.011953,            0.011953
                  18,              3.3575,              4.2584,              1.5946,           0.0098667,             0.35675,            0.013978,           0.0039812,                   0,                   0,                   0,            0.011947,            0.011947,            0.011947
                  19,              3.2902,              4.2851,              1.5722,            0.012348,             0.39695,            0.018135,           0.0060306,                   0,                   0,                   0,             0.01194,             0.01194,             0.01194
                  20,              3.2596,              4.3744,              1.5186,             0.01247,             0.46478,            0.019885,           0.0076942,                   0,                   0,                   0,            0.011933,            0.011933,            0.011933
                  21,              3.1787,              4.1555,              1.5839,            0.010518,             0.38572,            0.015823,           0.0037784,                   0,                   0,                   0,            0.011926,            0.011926,            0.011926
                  22,              3.1576,              4.1109,              1.5505,            0.012401,             0.44556,            0.021851,           0.0077398,                   0,                   0,                   0,            0.011919,            0.011919,            0.011919
                  23,              3.1787,              4.1069,              1.5457,            0.014223,             0.47903,            0.025413,           0.0078982,                   0,                   0,                   0,            0.011911,            0.011911,            0.011911
                  24,              3.1211,              4.0319,              1.4596,             0.01664,             0.50314,            0.029415,             0.00914,                   0,                   0,                   0,            0.011902,            0.011902,            0.011902
                  25,              3.1123,              3.9578,              1.4934,            0.013707,             0.50343,            0.026255,           0.0094594,                   0,                   0,                   0,            0.011894,            0.011894,            0.011894
                  26,              3.0215,              3.9647,              1.4658,            0.016005,              0.5618,             0.03596,            0.015292,                   0,                   0,                   0,            0.011885,            0.011885,            0.011885
                  27,              2.9603,              3.9089,              1.4854,             0.32958,            0.088174,            0.035958,            0.016398,                   0,                   0,                   0,            0.011875,            0.011875,            0.011875
                  28,              2.9789,              3.8269,              1.4837,              0.0152,             0.59928,            0.032977,            0.013253,                   0,                   0,                   0,            0.011866,            0.011866,            0.011866
                  29,              2.9017,              3.7515,              1.4536,               0.341,            0.096896,            0.041625,            0.019673,                   0,                   0,                   0,            0.011856,            0.011856,            0.011856
                  30,               2.961,              3.7056,               1.448,             0.01566,             0.58979,            0.044682,            0.014494,                   0,                   0,                   0,            0.011845,            0.011845,            0.011845
                  31,              2.8069,              3.6192,              1.4053,            0.017339,             0.68808,            0.050064,            0.019271,                   0,                   0,                   0,            0.011834,            0.011834,            0.011834
                  32,              2.8663,              3.5908,              1.4398,             0.25386,             0.10815,            0.053273,            0.025569,                   0,                   0,                   0,            0.011823,            0.011823,            0.011823
                  33,               2.753,              3.6479,              1.4067,             0.15031,             0.30968,            0.051422,            0.023219,                   0,                   0,                   0,            0.011812,            0.011812,            0.011812
                  34,              2.7033,              3.5073,              1.3892,             0.31697,             0.11013,            0.065065,            0.031405,                   0,                   0,                   0,              0.0118,              0.0118,              0.0118
                  35,              2.6907,              3.4651,              1.4028,             0.22174,             0.12867,            0.063475,            0.027384,                   0,                   0,                   0,            0.011788,            0.011788,            0.011788
                  36,              2.6066,              3.4749,              1.3756,             0.26684,              0.1344,            0.069744,            0.032561,                   0,                   0,                   0,            0.011775,            0.011775,            0.011775
                  37,              2.6776,               3.391,              1.3939,              0.2766,             0.17028,            0.086608,            0.043897,                   0,                   0,                   0,            0.011762,            0.011762,            0.011762
                  38,              2.6039,               3.325,              1.3759,             0.27796,             0.16205,            0.098538,            0.050532,                   0,                   0,                   0,            0.011749,            0.011749,            0.011749
                  39,              2.5898,              3.2359,              1.3427,             0.39212,             0.11783,            0.098318,            0.048771,                   0,                   0,                   0,            0.011735,            0.011735,            0.011735
