               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.7121,              1.3438,              1.2113,             0.80583,             0.58156,             0.67677,             0.35432,                   0,                   0,                   0,            0.075779,          0.00036885,          0.00036885
                   1,              1.6582,              1.3119,              1.1622,             0.80345,              0.5884,             0.68219,             0.39952,                   0,                   0,                   0,            0.051154,          0.00074377,          0.00074377
                   2,              1.6409,              1.2913,              1.2114,             0.78883,             0.56764,             0.67432,             0.37469,                   0,                   0,                   0,            0.026528,           0.0011184,           0.0011184
                   3,              1.6848,              1.3207,              1.1871,             0.82949,             0.58802,             0.69624,             0.37317,                   0,                   0,                   0,           0.0019022,           0.0014924,           0.0014924
                   4,              1.6939,              1.3032,               1.185,             0.70331,             0.61413,             0.67764,              0.4087,                   0,                   0,                   0,           0.0014974,           0.0014974,           0.0014974
                   5,              1.6942,              1.3362,              1.1973,             0.74657,              0.6154,             0.67387,             0.37452,                   0,                   0,                   0,           0.0014974,           0.0014974,           0.0014974
                   6,              1.6999,              1.3133,               1.187,              0.8031,             0.58777,             0.69284,             0.38198,                   0,                   0,                   0,           0.0014959,           0.0014959,           0.0014959
                   7,              1.6968,              1.3438,              1.2145,             0.76926,             0.58376,             0.68072,             0.38449,                   0,                   0,                   0,           0.0014941,           0.0014941,           0.0014941
                   8,              1.7372,              1.3417,              1.1916,             0.72148,             0.61092,             0.67161,             0.37986,                   0,                   0,                   0,            0.001492,            0.001492,            0.001492
                   9,              1.7035,              1.3214,              1.1955,             0.81358,              0.5663,             0.66624,             0.37675,                   0,                   0,                   0,           0.0014895,           0.0014895,           0.0014895
                  10,               1.702,              1.3068,              1.1748,             0.75325,             0.59609,             0.67791,             0.34734,                   0,                   0,                   0,           0.0014867,           0.0014867,           0.0014867
                  11,              1.7279,              1.3422,               1.191,             0.77362,              0.5506,             0.67174,             0.38944,                   0,                   0,                   0,           0.0014836,           0.0014836,           0.0014836
                  12,              1.6618,               1.298,              1.1793,             0.79576,             0.59532,             0.68575,             0.39359,                   0,                   0,                   0,           0.0014802,           0.0014802,           0.0014802
                  13,              1.6696,              1.3026,               1.195,             0.67422,             0.61225,             0.67467,              0.3704,                   0,                   0,                   0,           0.0014764,           0.0014764,           0.0014764
                  14,              1.7024,              1.3273,               1.176,              0.8175,             0.56362,             0.68216,             0.39118,                   0,                   0,                   0,           0.0014724,           0.0014724,           0.0014724
                  15,              1.6589,              1.2986,              1.1811,             0.79261,             0.59931,             0.68957,             0.36993,                   0,                   0,                   0,            0.001468,            0.001468,            0.001468
                  16,              1.7166,              1.3396,              1.1858,             0.75634,             0.58378,             0.68504,             0.35232,                   0,                   0,                   0,           0.0014633,           0.0014633,           0.0014633
                  17,              1.7139,              1.3181,              1.1859,              0.7539,             0.59292,              0.6739,             0.38286,                   0,                   0,                   0,           0.0014583,           0.0014583,           0.0014583
                  18,              1.7025,              1.3075,              1.1725,              0.7923,             0.60839,             0.68778,             0.39677,                   0,                   0,                   0,            0.001453,            0.001453,            0.001453
                  19,              1.6805,              1.2954,               1.184,             0.76903,             0.59933,             0.69317,             0.39116,                   0,                   0,                   0,           0.0014473,           0.0014473,           0.0014473
                  20,              1.6882,               1.319,              1.1804,              0.7848,             0.60184,             0.68835,             0.37401,                   0,                   0,                   0,           0.0014414,           0.0014414,           0.0014414
                  21,              1.7184,              1.3321,              1.1855,             0.77111,             0.62442,             0.69609,             0.39886,                   0,                   0,                   0,           0.0014352,           0.0014352,           0.0014352
                  22,              1.7307,              1.3434,              1.1832,             0.77285,             0.59013,             0.68935,             0.39313,                   0,                   0,                   0,           0.0014286,           0.0014286,           0.0014286
                  23,              1.6392,              1.2512,              1.1625,             0.76871,             0.60646,             0.68128,             0.35317,                   0,                   0,                   0,           0.0014218,           0.0014218,           0.0014218
                  24,              1.6876,              1.3028,              1.1763,             0.77335,             0.59472,             0.68854,             0.41556,                   0,                   0,                   0,           0.0014147,           0.0014147,           0.0014147
                  25,               1.686,              1.2941,              1.1925,             0.81665,             0.56313,             0.69243,             0.40133,                   0,                   0,                   0,           0.0014073,           0.0014073,           0.0014073
                  26,              1.6469,              1.2742,              1.1892,             0.75496,             0.59403,             0.67843,             0.36779,                   0,                   0,                   0,           0.0013995,           0.0013995,           0.0013995
                  27,              1.6839,              1.3229,              1.1824,             0.73944,             0.58192,             0.67913,             0.40239,                   0,                   0,                   0,           0.0013916,           0.0013916,           0.0013916
                  28,              1.6529,              1.2609,              1.1595,             0.79978,             0.58182,             0.67978,             0.37262,                   0,                   0,                   0,           0.0013833,           0.0013833,           0.0013833
                  29,              1.6394,               1.246,               1.175,             0.75621,             0.61999,             0.69167,             0.38787,                   0,                   0,                   0,           0.0013747,           0.0013747,           0.0013747
                  30,              1.6403,              1.2562,              1.1834,             0.79774,             0.59125,             0.68411,             0.36634,                   0,                   0,                   0,           0.0013659,           0.0013659,           0.0013659
                  31,              1.6716,              1.2782,              1.1729,             0.82826,             0.57376,             0.69078,              0.3585,                   0,                   0,                   0,           0.0013568,           0.0013568,           0.0013568
                  32,              1.6737,              1.3067,              1.1833,             0.78849,             0.58106,             0.69458,             0.39002,                   0,                   0,                   0,           0.0013474,           0.0013474,           0.0013474
                  33,              1.6808,              1.2985,              1.1919,             0.77838,             0.57894,             0.68667,             0.38848,                   0,                   0,                   0,           0.0013378,           0.0013378,           0.0013378
                  34,               1.641,              1.2321,              1.1725,             0.79501,             0.57394,             0.68116,             0.34865,                   0,                   0,                   0,           0.0013279,           0.0013279,           0.0013279
                  35,              1.6634,              1.2407,              1.1789,             0.76549,             0.60045,             0.68632,             0.40317,                   0,                   0,                   0,           0.0013178,           0.0013178,           0.0013178
                  36,              1.6388,              1.2348,              1.1694,             0.76473,             0.61296,             0.68954,              0.3894,                   0,                   0,                   0,           0.0013074,           0.0013074,           0.0013074
                  37,              1.6324,              1.2285,              1.1826,             0.76488,             0.60267,             0.68749,             0.38097,                   0,                   0,                   0,           0.0012968,           0.0012968,           0.0012968
                  38,              1.6806,              1.2887,               1.175,             0.73031,             0.61826,             0.68201,             0.35996,                   0,                   0,                   0,           0.0012859,           0.0012859,           0.0012859
                  39,              1.6388,               1.238,              1.1749,             0.80138,             0.56712,             0.68559,             0.35404,                   0,                   0,                   0,           0.0012748,           0.0012748,           0.0012748
                  40,              1.6115,              1.2225,              1.1698,             0.75426,             0.59777,             0.68705,             0.41445,                   0,                   0,                   0,           0.0012635,           0.0012635,           0.0012635
                  41,              1.6748,              1.2444,              1.1883,             0.80149,             0.59046,             0.69391,             0.37334,                   0,                   0,                   0,           0.0012519,           0.0012519,           0.0012519
                  42,              1.6291,              1.2204,              1.1571,             0.80946,             0.59535,             0.69095,             0.41397,                   0,                   0,                   0,           0.0012401,           0.0012401,           0.0012401
                  43,              1.6182,              1.2245,              1.1672,             0.82216,               0.587,             0.69636,             0.38487,                   0,                   0,                   0,           0.0012281,           0.0012281,           0.0012281
                  44,               1.722,              1.3074,              1.1816,             0.84115,             0.59461,             0.69941,             0.38957,                   0,                   0,                   0,           0.0012159,           0.0012159,           0.0012159
                  45,              1.6141,              1.2132,              1.1669,             0.78581,             0.61774,             0.70078,             0.40495,                   0,                   0,                   0,           0.0012035,           0.0012035,           0.0012035
                  46,              1.6412,              1.2382,              1.1815,              0.7745,             0.61116,              0.6984,             0.42573,                   0,                   0,                   0,           0.0011909,           0.0011909,           0.0011909
                  47,              1.6203,                 1.2,              1.1496,              0.7985,             0.59726,             0.70299,             0.40309,                   0,                   0,                   0,           0.0011781,           0.0011781,           0.0011781
                  48,              1.6297,               1.232,              1.1644,             0.79914,              0.6049,             0.69877,              0.4067,                   0,                   0,                   0,           0.0011651,           0.0011651,           0.0011651
                  49,              1.6123,              1.1936,               1.162,             0.81918,             0.60057,             0.70549,             0.41727,                   0,                   0,                   0,            0.001152,            0.001152,            0.001152
                  50,              1.6503,              1.2648,               1.161,             0.70289,             0.63169,             0.68638,             0.38089,                   0,                   0,                   0,           0.0011386,           0.0011386,           0.0011386
                  51,              1.6291,              1.2331,              1.1839,             0.69765,             0.62052,             0.68829,             0.38887,                   0,                   0,                   0,           0.0011251,           0.0011251,           0.0011251
                  52,               1.611,              1.2309,              1.1755,             0.73786,             0.64784,             0.70852,             0.38392,                   0,                   0,                   0,           0.0011114,           0.0011114,           0.0011114
                  53,               1.635,              1.2187,              1.1866,             0.80599,             0.59581,             0.69944,             0.37113,                   0,                   0,                   0,           0.0010976,           0.0010976,           0.0010976
                  54,              1.6241,              1.2247,              1.1689,             0.80164,             0.61059,             0.70078,             0.39936,                   0,                   0,                   0,           0.0010836,           0.0010836,           0.0010836
                  55,               1.578,              1.1805,              1.1568,             0.76351,             0.62159,             0.70563,             0.41391,                   0,                   0,                   0,           0.0010695,           0.0010695,           0.0010695
                  56,              1.6054,              1.2054,              1.1497,              0.7886,             0.61579,             0.69535,             0.36983,                   0,                   0,                   0,           0.0010552,           0.0010552,           0.0010552
                  57,              1.5863,              1.1692,              1.1526,             0.80989,             0.59545,             0.70543,             0.42151,                   0,                   0,                   0,           0.0010408,           0.0010408,           0.0010408
                  58,               1.584,              1.2298,               1.157,             0.81276,             0.59286,             0.70503,             0.42592,                   0,                   0,                   0,           0.0010262,           0.0010262,           0.0010262
                  59,              1.5746,              1.1678,              1.1624,             0.77165,             0.61924,             0.70235,             0.39827,                   0,                   0,                   0,           0.0010116,           0.0010116,           0.0010116
                  60,              1.5513,              1.1433,              1.1562,              0.8226,             0.58913,             0.69989,             0.42644,                   0,                   0,                   0,           0.0009968,           0.0009968,           0.0009968
